sep=;
Number;Time 80Se;80Se;Time 117Sn;117Sn;Time 122Sn;122Sn;Time 124Sn;124Sn;Time 121Sb;121Sb;Time 125Te;125Te
813;152.543;351316.016837245;152.574;1733.41896423017;152.637;1000.02850081227;152.668;1466.72797589606;152.606;13705.3512543973;152.7;4867.34176696975
814;152.731;391997.652732886;152.762;1733.41896423017;152.825;1300.04816678458;152.856;1633.40936853944;152.794;14739.5224588138;152.888;5834.30328625467
815;152.918;396087.998955002;152.95;1900.10289057152;153.013;1500.06412774146;153.044;1800.09234473728;152.981;9302.46561851219;153.076;3333.65003008619
816;153.106;374419.904342688;153.138;2033.45117182874;153.201;1466.72797589606;153.232;1666.74583709393;153.169;12804.6711440333;153.263;5700.92611544745
817;153.294;507330.911380266;153.326;2100.1256925227;153.388;1200.04104140362;153.42;1766.75562281228;153.357;11336.9951827774;153.451;5067.39839899548
818;153.482;332283.905050926;153.514;1200.04104140362;153.576;1600.07296332713;153.608;2133.46304788664;153.545;9035.65956388806;153.639;5600.89390266687
819;153.67;393122.403933894;153.701;1666.74583709393;153.764;1100.03448608114;153.795;1433.39188739193;153.733;9535.92424395042;153.827;5967.68147090079
820;153.858;363629.805459064;153.889;1400.0558622289;153.952;1100.03448608114;153.983;900.023085592145;153.921;8702.15770000172;154.015;5434.17481530348
821;154.045;385216.573451906;154.077;1700.08236899078;154.14;1566.73662145681;154.171;1800.09234473728;154.108;11570.4808756873;154.202;4633.94524580304
822;154.233;447604.718075785;154.265;2400.16417122931;154.328;1166.7054596232;154.359;1333.38400192541;154.296;10769.9714324007;154.39;1666.74583709393
823;154.421;599262.943194714;154.453;2566.85443206837;154.515;1566.73662145681;154.547;1766.75562281228;154.484;16207.4829948987;154.578;4467.23534572618
824;154.609;483060.076605319;154.641;2333.48851031927;154.703;1400.0558622289;154.735;1566.73662145681;154.672;11904.0372542348;154.766;4800.65672984064
825;154.797;408910.526593196;154.828;1566.73662145681;154.891;1066.69909431913;154.922;1233.37668652386;154.86;8935.6083392165;154.954;5034.0554685903
826;154.985;359853.120927722;155.016;2266.81310279311;155.079;1333.38400192541;155.11;2066.78840050346;155.048;11937.3932407745;155.142;2766.88483553595
827;155.172;387192.700758733;155.204;2133.46304788664;155.267;1200.04104140362;155.298;1033.36376589624;155.235;10002.8508124816;155.329;7001.39677865734
828;155.36;429254.594773641;155.392;1700.08236899078;155.454;900.023085592145;155.486;1633.40936853944;155.423;10703.2639603447;155.517;5967.68147090079
829;155.548;465186.665142051;155.58;1900.10289057152;155.642;1000.02850081227;155.674;1066.69909431913;155.611;9836.08989752712;155.705;4300.52702958748
830;155.736;394008.621774257;155.767;2700.20778098875;155.83;1266.71239498413;155.861;1066.69909431913;155.799;11870.6813310928;155.893;8402.01144153911
831;155.924;427751.886496148;155.955;1533.40034292832;156.018;1066.69909431913;156.049;1066.69909431913;155.987;8001.82441596684;156.081;3600.36939790022
832;156.112;328819.542385009;156.143;1900.10289057152;156.206;966.693299067056;156.237;1366.71990040679;156.174;10836.6791580234;156.268;4934.02705753762
833;156.299;437077.561929319;156.331;1700.08236899078;156.393;1333.38400192541;156.425;1233.37668652386;156.362;9836.08989752712;156.456;4000.45605198993
834;156.487;349921.900488662;156.519;1133.36994118243;156.581;600.010260175449;156.613;1433.39188739193;156.55;8668.80786220863;156.644;5100.74139276144
835;156.675;420479.209681243;156.706;1933.43986586994;156.769;666.679333574005;156.8;1433.39188739193;156.738;10936.7412218981;156.832;4633.94524580304
836;156.863;430415.865541809;156.894;1333.38400192541;156.957;633.344765206345;156.988;1100.03448608114;156.926;7835.08251550492;157.02;5267.4573120092
837;157.051;394588.095837379;157.082;2200.13794864938;157.145;1266.71239498413;157.176;2300.15077488329;157.113;9936.1462563385;157.207;6134.40562743701
838;157.238;426624.938732762;157.27;1466.72797589606;157.333;600.010260175449;157.364;1100.03448608114;157.301;6001.02617547601;157.395;4033.79701830059
839;157.426;445143.265699203;157.458;1166.7054596232;157.521;733.348660320334;157.552;1400.0558622289;157.489;11904.0372542348;157.583;4800.65672984064
840;157.614;429391.210922692;157.646;1800.09234473728;157.708;833.353125470063;157.74;1166.7054596232;157.677;7534.95108733178;157.771;2600.19267427716
841;157.802;373670.85257526;157.833;1700.08236899078;157.896;1300.04816678458;157.927;1633.40936853944;157.865;7801.73432554057;157.959;5367.48762389874
842;157.99;478024.942035928;158.021;1433.39188739193;158.084;833.353125470063;158.115;1400.0558622289;158.053;9002.30909228217;158.147;4433.89355578411
843;158.178;382559.37003494;158.209;1966.77690451216;158.272;766.683418699365;158.303;933.358160660407;158.241;9235.76372455745;158.335;5734.2703131025
844;158.366;456667.16844677;158.397;1500.06412774146;158.46;900.023085592145;158.491;1100.03448608114;158.428;8668.80786220863;158.522;6001.02617547601
845;158.553;437863.465234724;158.585;1533.40034292832;158.648;500.007125101533;158.679;1000.02850081227;158.616;6501.20434810549;158.71;4100.47914098762
846;158.741;481689.830777513;158.773;1366.71990040679;158.835;866.688073862091;158.867;1366.71990040679;158.804;8835.55768498053;158.898;6134.40562743701
847;158.929;455435.771805608;158.96;1166.7054596232;159.023;600.010260175449;159.055;1066.69909431913;158.992;6634.58760211951;159.086;5034.0554685903
